,SONY,APPL,DELL,HPE,SAMSUNG,EorT,Period
0,0.6527620086186564,0.09257039472444932,0.5741885707432305,0.9029565550214287,0.3389774421885034,ETC,2019_2020
1,1.0,1.0,1.0,1.0,0.58953838,EC,2019_2020
2,0.6527620086186564,0.09257039472444932,0.5741885707432305,0.9029565550214287,0.5749879120482425,TC,2019_2020
3,0.7339085225850515,10.217697847178346,0.9228122655146472,0.9906646741265659,1.340638988429071,ETC,2020_2021
4,1.0,1.0,1.0,1.0,1.696242405795531,EC,2020_2021
5,0.7339085225850515,10.217697847178346,0.9228122655146472,0.9906646741265659,0.7903581374033133,TC,2020_2021
6,0.9993357953307496,0.7058843245905677,0.8551621024248925,1.0893515836619643,0.9678805656835952,ETC,2021_2022
7,1.0,1.0,1.0,1.0,1.0,EC,2021_2022
8,0.9993357953307496,0.7058843245905677,0.8551621024248925,1.0893515836619643,0.9678805656835952,TC,2021_2022
9,0.06583980873967796,1.669131599666263,0.7533949218963443,0.9276383588431911,0.8716412150381364,ETC,2022_2023
10,1.0,1.0,1.0,0.99328206,1.0,EC,2022_2023
11,0.06583980873967796,1.669131599666263,0.7533949218963443,0.9339123258132651,0.8716412150381364,TC,2022_2023
